Table Name,Attribute Name,DMV,Frequency,Detecting Tool
3397-1,graduation_rate_2013,n/a,82,Rand
3397-1,college_career_rate_2013,n/a,98,Rand
3397-1,ontrack_year1_2014,n/a,19,Rand
3397-1,graduation_rate_2014,n/a,65,Rand
3397-1,college_career_rate_2014,n/a,82,Rand
3397-1,graduation_rate_boro,70%,107,Rand
3397-1,college_career_rate_boro,53%,107,Rand
3397-1,pct_stu_enough_variety_2014,77%,18,Rand
3397-1,pct_stu_safe_2014,90%,17,Rand
3397-1,quality_review_year,2011-2012,53,Rand
3397-1,qr_instruction, p,136,Rand
3397-1,qr_assessing_student_learning, d,107,Rand
